name,teammate,g.x,w,l,w_percent
Bill Walton,Dennis Johnson,114,94,20,0.825
Bill Walton,Kevin McHale,102,83,19,0.814
Bill Walton,Lenny Wilkens,31,10,21,0.323
Billy Cunningham,Hal Greer,588,364,224,0.619
Billy Cunningham,Chet Walker,343,247,96,0.72
Billy Cunningham,Wilt Chamberlain,256,192,64,0.75
Billy Cunningham,Bailey Howell,88,49,39,0.557
Billy Cunningham,Larry Costello,72,59,13,0.819
Billy Cunningham,George McGinnis,18,14,4,0.778
Bob Cousy,Bill Sharman,732,472,260,0.645
Bob Cousy,Frank Ramsey,605,421,184,0.696
Bob Cousy,Tom Heinsohn,559,402,157,0.719
Bob Cousy,Bill Russell,541,393,148,0.726
Bob Cousy,Sam Jones,476,345,131,0.725
Bob Cousy,Ed Macauley,441,248,193,0.562
Bob Cousy,K.C. Jones,398,289,109,0.726
Bob Cousy,Chuck Cooper,289,167,122,0.578
Bob Cousy,Tom Sanders,254,187,67,0.736
Bob Cousy,Arnie Risen,185,110,75,0.595
Bob Cousy,Don Barksdale,147,80,67,0.544
Bob Cousy,Andy Phillip,144,95,49,0.66
Bob Cousy,John Havlicek,87,62,25,0.713
Bob Cousy,Clyde Lovellette,64,43,21,0.672
Bob Cousy,Carl Braun,50,40,10,0.8
Bob Cousy,Oscar Robertson,7,5,2,0.714
Bob Cousy,Bob Houbregs,2,1,1,0.5
Bob Dandridge,Kareem Abdul-Jabbar,497,349,148,0.702
Bob Dandridge,Oscar Robertson,312,233,79,0.747
Bob Dandridge,Elvin Hayes,257,142,115,0.553
Bob Dandridge,Wes Unseld,243,132,111,0.543
Bob Dandridge,Guy Rodgers,71,44,27,0.62
Bob Dandridge,Alex English,48,15,33,0.312
Bob Dandridge,Sidney Moncrief,11,7,4,0.636
Bob Dandridge,Bob Lanier,11,7,4,0.636
Bob Davies,Bobby Wanzer,499,303,196,0.607
Bob Davies,Arnie Risen,485,293,192,0.604
Bob Houbregs,George Yardley,212,108,104,0.509
Bob Houbregs,Larry Foust,194,99,95,0.51
Bob Houbregs,Andy Phillip,133,70,63,0.526
Bob Houbregs,Chuck Cooper,41,19,22,0.463
Bob Houbregs,Nat Clifton,17,7,10,0.412
Bob Houbregs,Harry Gallatin,17,7,10,0.412
Bob Houbregs,Dick McGuire,16,7,9,0.438
Bob Houbregs,Ed Macauley,2,1,1,0.5
Bob Houbregs,Don Barksdale,2,1,1,0.5
Bob Houbregs,Frank Ramsey,2,1,1,0.5
Bob Houbregs,Bill Sharman,2,1,1,0.5
Bob Houbregs,Bob Cousy,2,1,1,0.5
Bob Lanier,Dave Bing,370,188,182,0.508
Bob Lanier,Sidney Moncrief,312,204,108,0.654
Bob Lanier,Tiny Archibald,42,28,14,0.667
Bob Lanier,Bob McAdoo,30,7,23,0.233
Bob Lanier,Dave Cowens,16,8,8,0.5
Bob Lanier,Bob Dandridge,11,7,4,0.636
Bob McAdoo,Kareem Abdul-Jabbar,276,200,76,0.725
Bob McAdoo,Magic Johnson,262,193,69,0.737
Bob McAdoo,James Worthy,219,160,59,0.731
Bob McAdoo,Jamaal Wilkes,218,150,68,0.688
Bob McAdoo,Earl Monroe,154,75,79,0.487
Bob McAdoo,Spencer Haywood,104,54,50,0.519
Bob McAdoo,Walt Frazier,51,24,27,0.471
Bob McAdoo,Bill Bradley,48,21,27,0.438
Bob McAdoo,Maurice Cheeks,34,20,14,0.588
Bob McAdoo,Charles Barkley,33,20,13,0.606
Bob McAdoo,Julius Erving,30,16,14,0.533
Bob McAdoo,Bob Lanier,30,7,23,0.233
Bob McAdoo,Bobby Jones,29,17,12,0.586
Bob McAdoo,Moses Malone,28,18,10,0.643
Bob McAdoo,Adrian Dantley,19,8,11,0.421
Bob McAdoo,Tiny Archibald,19,3,16,0.158
Bob McAdoo,Dave Cowens,11,3,8,0.273
Bob Pettit,Cliff Hagan,713,398,315,0.558
Bob Pettit,Lenny Wilkens,331,194,137,0.586
Bob Pettit,Slater Martin,269,163,106,0.606
Bob Pettit,Clyde Lovellette,267,155,112,0.581
Bob Pettit,Zelmo Beaty,215,126,89,0.586
Bob Pettit,Ed Macauley,178,97,81,0.545
Bob Pettit,Larry Foust,164,89,75,0.543
Bob Pettit,Richie Guerin,129,74,55,0.574
Bob Pettit,Chuck Cooper,105,38,67,0.362
Bobby Jones,Maurice Cheeks,709,483,226,0.681
Bobby Jones,Julius Erving,691,473,218,0.685
Bobby Jones,Moses Malone,308,222,86,0.721
Bobby Jones,David Thompson,269,165,104,0.613
Bobby Jones,Dan Issel,269,164,105,0.61
Bobby Jones,Charles Barkley,173,116,57,0.671
Bobby Jones,Bob McAdoo,29,17,12,0.586
Bobby Wanzer,Arnie Risen,501,304,197,0.607
Bobby Wanzer,Bob Davies,499,303,196,0.607
Bobby Wanzer,Jack Twyman,94,41,53,0.436
Bobby Wanzer,Maurice Stokes,89,40,49,0.449
Calvin Murphy,Moses Malone,471,247,224,0.524
Calvin Murphy,Elvin Hayes,295,123,172,0.417
Calvin Murphy,Rick Barry,157,81,76,0.516
Carl Braun,Harry Gallatin,503,281,222,0.559
Carl Braun,Dick McGuire,425,239,186,0.562
Carl Braun,Nat Clifton,368,203,165,0.552
Carl Braun,Richie Guerin,276,131,145,0.475
Carl Braun,Tom Heinsohn,55,44,11,0.8
Carl Braun,Tom Sanders,55,44,11,0.8
Carl Braun,K.C. Jones,55,44,11,0.8
Carl Braun,Frank Ramsey,54,44,10,0.815
Carl Braun,Bill Russell,53,44,9,0.83
Carl Braun,Sam Jones,53,43,10,0.811
Carl Braun,Bob Cousy,50,40,10,0.8
Carl Braun,Slater Martin,13,8,5,0.615
Carmelo Anthony,Chauncey Billups,215,135,80,0.628
Carmelo Anthony,Amar'e Stoudemire,190,78,112,0.411
Carmelo Anthony,Russell Westbrook,153,75,78,0.49
Carmelo Anthony,Damian Lillard,125,66,59,0.528
Carmelo Anthony,Allen Iverson,122,68,54,0.557
Carmelo Anthony,Paul George,81,47,34,0.58
Carmelo Anthony,Jason Kidd,74,49,25,0.662
Carmelo Anthony,Dwight Howard,52,17,35,0.327
Carmelo Anthony,LeBron James,46,21,25,0.457
Carmelo Anthony,Anthony Davis,34,15,19,0.441
Carmelo Anthony,Chris Paul,8,4,4,0.5
Carmelo Anthony,James Harden,7,3,4,0.429
Charles Barkley,Maurice Cheeks,395,229,166,0.58
Charles Barkley,Julius Erving,226,146,80,0.646
Charles Barkley,Bobby Jones,173,116,57,0.671
Charles Barkley,Moses Malone,164,113,51,0.689
Charles Barkley,Hakeem Olajuwon,164,100,64,0.61
Charles Barkley,Clyde Drexler,127,81,46,0.638
Charles Barkley,Scottie Pippen,46,28,18,0.609
Charles Barkley,Bob McAdoo,33,20,13,0.606
Charlie Scott,Jo Jo White,183,103,80,0.563
Charlie Scott,John Havlicek,171,96,75,0.561
Charlie Scott,Dan Issel,150,68,82,0.453
Charlie Scott,Dave Cowens,147,86,61,0.585
Charlie Scott,George McGinnis,109,50,59,0.459
Charlie Scott,David Thompson,107,52,55,0.486
Charlie Scott,Connie Hawkins,88,39,49,0.443
Charlie Scott,Julius Erving,73,42,31,0.575
Charlie Scott,Lou Hudson,51,30,21,0.588
Charlie Scott,Kareem Abdul-Jabbar,51,30,21,0.588
Charlie Scott,Adrian Dantley,51,30,21,0.588
Charlie Scott,Dave Bing,30,9,21,0.3
Charlie Scott,Jamaal Wilkes,23,11,12,0.478
Charlie Scott,Gus Johnson,21,9,12,0.429
Charlie Scott,Alex English,21,9,12,0.429
Chauncey Billups,Ben Wallace,377,253,124,0.671
Chauncey Billups,Carmelo Anthony,215,135,80,0.628
Chauncey Billups,Kevin Garnett,163,91,72,0.558
Chauncey Billups,Chris Webber,56,39,17,0.696
Chauncey Billups,Chris Paul,43,29,14,0.674
Chauncey Billups,Tracy McGrady,28,5,23,0.179
Chauncey Billups,Amar'e Stoudemire,19,8,11,0.421
Chauncey Billups,Grant Hill,12,6,6,0.5
Chet Walker,Hal Greer,606,384,222,0.634
Chet Walker,Billy Cunningham,343,247,96,0.72
Chet Walker,Wilt Chamberlain,320,228,92,0.713
Chet Walker,Larry Costello,280,171,109,0.611
Chet Walker,Dolph Schayes,89,51,38,0.573
Chet Walker,Nate Thurmond,87,50,37,0.575
Chris Bosh,Dwyane Wade,389,263,126,0.676
Chris Bosh,LeBron James,356,257,99,0.722
Chris Bosh,Ray Allen,185,131,54,0.708
Chris Bosh,Vince Carter,86,36,50,0.419
Chris Bosh,Shawn Marion,26,12,14,0.462
Chris Bosh,Amar'e Stoudemire,25,12,13,0.48
Chris Mullin,Tim Hardaway,351,182,169,0.519
Chris Mullin,Mitch Richmond,246,125,121,0.508
Chris Mullin,Šarūnas Marčiulionis,225,121,104,0.538
Chris Mullin,Reggie Miller,214,143,71,0.668
Chris Mullin,Ralph Sampson,77,37,40,0.481
Chris Mullin,Chris Webber,61,37,24,0.607
Chris Paul,James Harden,129,98,31,0.76
Chris Paul,Paul Pierce,92,61,31,0.663
Chris Paul,Chauncey Billups,43,29,14,0.674
Chris Paul,Grant Hill,18,9,9,0.5
Chris Paul,Kevin Durant,15,12,3,0.8
Chris Paul,Carmelo Anthony,8,4,4,0.5
Chris Webber,Vlade Divac,378,239,139,0.632
Chris Webber,Allen Iverson,104,48,56,0.462
Chris Webber,Ben Wallace,86,50,36,0.581
Chris Webber,Chris Mullin,61,37,24,0.607
Chris Webber,Chauncey Billups,56,39,17,0.696
Chuck Cooper,Bob Cousy,289,167,122,0.578
Chuck Cooper,Ed Macauley,284,165,119,0.581
Chuck Cooper,Bill Sharman,216,129,87,0.597
Chuck Cooper,Bob Pettit,105,38,67,0.362
Chuck Cooper,Don Barksdale,67,39,28,0.582
Chuck Cooper,Bob Houbregs,41,19,22,0.463
Chuck Cooper,Larry Foust,41,19,22,0.463
Chuck Cooper,George Yardley,41,19,22,0.463
Chuck Cooper,Andy Phillip,41,19,22,0.463
Cliff Hagan,Bob Pettit,713,398,315,0.558
Cliff Hagan,Lenny Wilkens,429,239,190,0.557
Cliff Hagan,Zelmo Beaty,325,176,149,0.542
Cliff Hagan,Slater Martin,270,164,106,0.607
Cliff Hagan,Clyde Lovellette,268,156,112,0.582
Cliff Hagan,Richie Guerin,229,122,107,0.533
Cliff Hagan,Ed Macauley,174,94,80,0.54
Cliff Hagan,Larry Foust,165,90,75,0.545
Cliff Hagan,Rod Thorn,52,26,26,0.5
Clyde Drexler,Hakeem Olajuwon,225,143,82,0.636
Clyde Drexler,Charles Barkley,127,81,46,0.638
Clyde Drexler,Dražen Petrović,108,80,28,0.741
Clyde Lovellette,Slater Martin,364,217,147,0.596
Clyde Lovellette,Vern Mikkelsen,312,167,145,0.535
Clyde Lovellette,Cliff Hagan,268,156,112,0.582
Clyde Lovellette,Bob Pettit,267,155,112,0.581
Clyde Lovellette,Jim Pollard,153,93,60,0.608
Clyde Lovellette,Larry Foust,127,71,56,0.559
Clyde Lovellette,George Mikan,126,76,50,0.603
Clyde Lovellette,Tom Sanders,117,84,33,0.718
Clyde Lovellette,K.C. Jones,116,83,33,0.716
Clyde Lovellette,John Havlicek,115,83,32,0.722
Clyde Lovellette,Bill Russell,113,82,31,0.726
Clyde Lovellette,Tom Heinsohn,111,81,30,0.73
Clyde Lovellette,Sam Jones,111,80,31,0.721
Clyde Lovellette,Frank Ramsey,111,79,32,0.712
Clyde Lovellette,Lenny Wilkens,73,45,28,0.616
Clyde Lovellette,Jack Twyman,73,32,41,0.438
Clyde Lovellette,Bob Cousy,64,43,21,0.672
Clyde Lovellette,Maurice Stokes,63,31,32,0.492
Clyde Lovellette,Ed Macauley,14,9,5,0.643
Connie Hawkins,Gail Goodrich,196,94,102,0.48
Connie Hawkins,Charlie Scott,88,39,49,0.443
Connie Hawkins,Lou Hudson,73,25,48,0.342
Connie Hawkins,Zelmo Beaty,32,13,19,0.406
Connie Hawkins,Jerry West,21,10,11,0.476
Connie Hawkins,Gus Johnson,17,6,11,0.353
Damian Lillard,Carmelo Anthony,125,66,59,0.528
Dan Issel,David Thompson,529,299,230,0.565
Dan Issel,Louie Dampier,471,306,165,0.65
Dan Issel,Alex English,445,235,210,0.528
Dan Issel,Artis Gilmore,382,263,119,0.688
Dan Issel,Bobby Jones,269,164,105,0.61
Dan Issel,Charlie Scott,150,68,82,0.453
Dan Issel,George McGinnis,120,58,62,0.483
Dave Bing,Bob Lanier,370,188,182,0.508
Dave Bing,Dave DeBusschere,188,79,109,0.42
Dave Bing,Elvin Hayes,159,89,70,0.56
Dave Bing,Wes Unseld,157,88,69,0.561
Dave Bing,Walt Bellamy,93,34,59,0.366
Dave Bing,John Havlicek,80,31,49,0.388
Dave Bing,Dave Cowens,76,31,45,0.408
Dave Bing,Jo Jo White,44,13,31,0.295
Dave Bing,Charlie Scott,30,9,21,0.3
Dave Cowens,Jo Jo White,675,425,250,0.63
Dave Cowens,John Havlicek,653,424,229,0.649
Dave Cowens,Paul Westphal,245,184,61,0.751
Dave Cowens,Tom Sanders,171,120,51,0.702
Dave Cowens,Charlie Scott,147,86,61,0.585
Dave Cowens,Tiny Archibald,128,75,53,0.586
Dave Cowens,Dave Bing,76,31,45,0.408
Dave Cowens,Larry Bird,75,54,21,0.72
Dave Cowens,Sidney Moncrief,40,25,15,0.625
Dave Cowens,Pete Maravich,28,19,9,0.679
Dave Cowens,Bob Lanier,16,8,8,0.5
Dave Cowens,Bob McAdoo,11,3,8,0.273
Dave DeBusschere,Walt Frazier,502,329,173,0.655
Dave DeBusschere,Bill Bradley,498,322,176,0.647
Dave DeBusschere,Willis Reed,357,241,116,0.675
Dave DeBusschere,Jerry Lucas,247,149,98,0.603
Dave DeBusschere,Earl Monroe,205,128,77,0.624
Dave DeBusschere,Dave Bing,188,79,109,0.42
Dave DeBusschere,Rod Thorn,99,35,64,0.354
Dave DeBusschere,Bailey Howell,97,38,59,0.392
David Robinson,Tim Duncan,481,331,150,0.688
David Robinson,Tony Parker,164,113,51,0.689
David Robinson,Dennis Rodman,142,100,42,0.704
David Robinson,Manu Ginóbili,75,51,24,0.68
David Robinson,Maurice Cheeks,50,33,17,0.66
David Robinson,Moses Malone,17,9,8,0.529
David Robinson,Dominique Wilkins,6,3,3,0.5
David Thompson,Dan Issel,529,299,230,0.565
David Thompson,Bobby Jones,269,165,104,0.613
David Thompson,Alex English,140,72,68,0.514
David Thompson,Charlie Scott,107,52,55,0.486
David Thompson,George McGinnis,105,54,51,0.514
David Thompson,Jack Sikma,89,50,39,0.562
Dennis Johnson,Robert Parish,627,437,190,0.697
Dennis Johnson,Kevin McHale,608,418,190,0.688
Dennis Johnson,Larry Bird,557,402,155,0.722
Dennis Johnson,Jack Sikma,296,185,111,0.625
Dennis Johnson,Bill Walton,114,94,20,0.825
Dennis Johnson,Artis Gilmore,56,35,21,0.625
Dennis Rodman,Joe Dumars,614,403,211,0.656
Dennis Rodman,Isiah Thomas,597,393,204,0.658
Dennis Rodman,Michael Jordan,257,210,47,0.817
Dennis Rodman,Toni Kukoč,230,190,40,0.826
Dennis Rodman,Adrian Dantley,225,145,80,0.644
Dennis Rodman,Scottie Pippen,216,181,35,0.838
Dennis Rodman,David Robinson,142,100,42,0.704
Dennis Rodman,Robert Parish,31,26,5,0.839
Dennis Rodman,Kobe Bryant,23,17,6,0.739
Dennis Rodman,Shaquille O'Neal,23,17,6,0.739
Dennis Rodman,Steve Nash,12,3,9,0.25
Dennis Rodman,Dirk Nowitzki,12,3,9,0.25
Dennis Rodman,Moses Malone,2,2,0,1
Dick McGuire,Harry Gallatin,658,363,295,0.552
Dick McGuire,Nat Clifton,568,311,257,0.548
Dick McGuire,Carl Braun,425,239,186,0.562
Dick McGuire,Earl Lloyd,140,53,87,0.379
Dick McGuire,George Yardley,122,55,67,0.451
Dick McGuire,Richie Guerin,72,36,36,0.5
Dick McGuire,Bailey Howell,70,26,44,0.371
Dick McGuire,Bob Houbregs,16,7,9,0.438
Dick McGuire,Slater Martin,13,8,5,0.615
Dikembe Mutombo,Tracy McGrady,234,148,86,0.632
Dikembe Mutombo,Yao Ming,198,117,81,0.591
Dikembe Mutombo,Allen Iverson,105,61,44,0.581
Dikembe Mutombo,Jason Kidd,34,20,14,0.588
Dikembe Mutombo,Kyle Lowry,8,6,2,0.75
Dino Radja,Robert Parish,72,28,44,0.389
Dino Radja,Dominique Wilkins,66,27,39,0.409
Dirk Nowitzki,Steve Nash,432,267,165,0.618
Dirk Nowitzki,Shawn Marion,362,221,141,0.61
Dirk Nowitzki,Jason Kidd,344,217,127,0.631
Dirk Nowitzki,Vince Carter,202,111,91,0.55
Dirk Nowitzki,Tim Hardaway,52,36,16,0.692
Dirk Nowitzki,Amar'e Stoudemire,27,13,14,0.481
Dirk Nowitzki,Dennis Rodman,12,3,9,0.25
Dolph Schayes,Earl Lloyd,453,254,199,0.561
Dolph Schayes,Larry Costello,437,229,208,0.524
Dolph Schayes,Hal Greer,389,201,188,0.517
Dolph Schayes,Al Cervi,225,141,84,0.627
Dolph Schayes,George Yardley,100,58,42,0.58
Dolph Schayes,Chet Walker,89,51,38,0.573
Dolph Schayes,Neil Johnston,1,1,0,1
Dominique Wilkins,Moses Malone,249,136,113,0.546
Dominique Wilkins,Sidney Moncrief,76,41,35,0.539
Dominique Wilkins,Dino Radja,66,27,39,0.409
Dominique Wilkins,Maurice Cheeks,29,13,16,0.448
Dominique Wilkins,David Robinson,6,3,3,0.5
Don Barksdale,Bob Cousy,147,80,67,0.544
Don Barksdale,Ed Macauley,145,79,66,0.545
Don Barksdale,Bill Sharman,144,79,65,0.549
Don Barksdale,Frank Ramsey,71,37,34,0.521
Don Barksdale,Chuck Cooper,67,39,28,0.582
Don Barksdale,Bob Houbregs,2,1,1,0.5
Draymond Green,Stephen Curry,791,565,226,0.714
Draymond Green,Klay Thompson,744,530,214,0.712
Draymond Green,Kevin Durant,228,171,57,0.75
Dražen Petrović,Clyde Drexler,108,80,28,0.741
Dražen Petrović,Maurice Cheeks,30,17,13,0.567
Dražen Petrović,Bernard King,25,11,14,0.44
Dwight Howard,James Harden,202,117,85,0.579
Dwight Howard,Grant Hill,157,69,88,0.439
Dwight Howard,LeBron James,119,77,42,0.647
Dwight Howard,Vince Carter,109,76,33,0.697
Dwight Howard,Anthony Davis,108,70,38,0.648
Dwight Howard,Kobe Bryant,72,39,33,0.542
Dwight Howard,Russell Westbrook,58,20,38,0.345
Dwight Howard,Carmelo Anthony,52,17,35,0.327
Dwight Howard,Pau Gasol,50,24,26,0.48
Dwight Howard,Steve Nash,46,23,23,0.5
Dwyane Wade,Chris Bosh,389,263,126,0.676
Dwyane Wade,LeBron James,371,258,113,0.695
Dwyane Wade,Shaquille O'Neal,205,130,75,0.634
Dwyane Wade,Alonzo Mourning,185,109,76,0.589
Dwyane Wade,Ray Allen,159,114,45,0.717
Dwyane Wade,Gary Payton,139,83,56,0.597
Dwyane Wade,Jimmy Butler,63,30,33,0.476
Dwyane Wade,Amar'e Stoudemire,54,30,24,0.556
Dwyane Wade,Shawn Marion,54,24,30,0.444
Dwyane Wade,Kevin Love,42,24,18,0.571
Earl Lloyd,Dolph Schayes,453,254,199,0.561
Earl Lloyd,Dick McGuire,140,53,87,0.379
Earl Lloyd,Bailey Howell,70,26,44,0.371
Earl Lloyd,Larry Costello,64,33,31,0.516
Earl Lloyd,George Yardley,46,19,27,0.413
Earl Lloyd,Al Cervi,40,26,14,0.65
Earl Lloyd,Bill Sharman,7,2,5,0.286
Earl Monroe,Bill Bradley,434,240,194,0.553
Earl Monroe,Walt Frazier,416,233,183,0.56
Earl Monroe,Gus Johnson,270,159,111,0.589
Earl Monroe,Wes Unseld,266,158,108,0.594
Earl Monroe,Dave DeBusschere,205,128,77,0.624
Earl Monroe,Jerry Lucas,203,127,76,0.626
Earl Monroe,Spencer Haywood,192,94,98,0.49
